MATRICULA,NOME,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,PERFIL,DESV_ENT_NOTAS,SUM_NOTAS
630347,Jaziel da Conceição,0,0,0,0,6.6,4.4,4.9,4.7,1,4,2,4,EXATAS,0.98826,1.8448
559228,Celso de Pereira,0,0,0,0,6.1,4.7,6.5,5.3,0,4,5,3,EXATAS,0.80623,2.85
573688,Regina Conimman,0,0,0,0,5.5,5.1,6.2,4.7,1,2,3,6,EXATAS,0.63966,2.2576
719970,Yasmin Lopes Gomes Dapitoe,0,0,0,0,6.7,6.5,7,5.6,1,7,5,3,HUMANAS,0.60277,2.7451
546151,Janete Vitória Gomes,0,0,0,0,5.4,5.2,5,5.8,1,1,3,5,EXATAS,0.34157,2.1932
390727,Celso Mariano Hikurode,0,0,0,0,5.3,4.8,4.8,5.3,0,3,4,4,DIFICULDADE,0.28868,2.4945
394721,Rosana Aznanão,0,0,0,0,7,7.4,7.3,7,,15,5,2,HUMANAS,0.20616,0.2082
506004,Sâmia Edilene Sayu de Meireles,0,0,0,0,8,8.4,10,8.5,0,10,6,2,EXCELENTE,0.87702,4.5427
514791,Márcia Juliana de Castro,0,0,0,0,6.9,6.8,5.5,6.3,0,8,4,5,EXATAS,0.63966,3.1459
656202,Wanda Rosa Weber,0,0,0,0,6.1,5.2,5.6,5.2,,4,5,3,EXATAS,0.4272,0.2309
535203,Suely da Paraíba Tlanokivic,1,1,1,1,0,0,0,0,1,2,0,3,DIFICULDADE,0,0.5
332396,Bóris Pedro de Ramos,0,0,0,0,7.2,7.4,8.1,,1,3,5,2,HUMANAS,0.47258,3.9128
617599,Walderice Yolanda Oiluer do Maranhão,0,0,0,0,4.5,4.9,5.5,,1,5,2,6,DIFICULDADE,0.50332,2.4434
194445,Aécio Eric de Freitas Júnior,0,0,0,0,6.7,7,5.9,5.6,0,5,4,4,MUITO_BOM,0.65828,3.1415
856103,Luara Idiz,0,0,0,0,6.2,6,5,4.3,1,5,3,6,DIFICULDADE,0.88835,2.1654
644628,Kauê Sílvio Valverde,0,0,0,0,6.8,7.1,7.9,5.8,0,1,4,6,HUMANAS,0.86795,"3573,00"
983548,Samuel de Salgado,0,0,0,0,5.9,6.2,5.7,6.3,,3,3,4,EXATAS,0.27538,0.3215
364403,Giovanni Freire Gomes,0,0,0,0,5.7,4.9,5,5.2,,5,1,3,DIFICULDADE,0.3559,0.1528
261521,Eleriane Shingazyttes,0,0,0,0,6.8,5.9,6.7,6.2,0,4,2,3,HUMANAS,0.42426,3.1507
375701,Yolanda de Macedo dos Santos Valente,0,0,0,0,6.1,6.4,5.4,5.4,,2,2,6,DIFICULDADE,0.5058,0.5774
148016,Daniela Itamara de Sá do Vale,0,0,0,0,6,6.2,5.4,6.4,1,2,4,4,EXATAS,0.43205,2.5371
177301,Joaquim da Luz Pomyn Júnior,0,0,0,0,6.6,6.9,5.2,,,15,5,5,EXATAS,0.90738,1.2021
556989,Wagner Guilherme de Salvador Eicli Nowason,0,0,0,0,6.4,5.7,5,,0,5,5,3,EXATAS,0.7,3.1086
185935,Augusto Esimdul Utre Júnior,0,0,0,0,7.3,7.2,7.6,,1,13,5,3,HUMANAS,0.20817,3.7005
608546,Albina Tina da Silva de Toledo Fiarne,0,0,0,0,6.6,6,6.5,6.2,1,2,0,3,EXATAS,0.27538,2.6247
604099,Josiane Dara de Oliveira Yndube Kratroe Terceiro,0,0,0,0,7.3,8.1,7.1,7.5,0,3,5,2,MUITO_BOM,0.43205,3.8056
520728,Marlene Tuseson,0,0,0,0,5.9,5.7,5.6,5.6,1,3,2,5,EXATAS,0.14142,2.3171
775472,Paulo Jardel Alasov,1,1,1,1,0,0,0,0,0,6,0,3,DIFICULDADE,0,"0,00"
275380,Fabíola Mayra de Bragança Eovic,0,0,0,0,4.7,5.9,5,4.5,1,5,1,7,DIFICULDADE,0.61847,2.1463
516894,Maria da Silva,1,1,1,1,0,0,0,,1,2,3,3,DIFICULDADE,0,0.5774
420908,Keyla Adrielle Uzbo,0,0,0,0,5.5,5.2,7.5,5.4,1,9,4,4,HUMANAS,1.07393,2.7232
546263,Rebeca Karina Duque,0,0,0,0,6.5,5.9,5.4,4.8,1,0,3,5,EXATAS,0.72342,2.2292
763764,Heron Miguel Baledro,0,0,1,1,4.7,5.1,0,0,1,3,3,5,DIFICULDADE,2.83373,2.4295
970726,Suely Elaine Aenammi,0,0,0,0,5.5,6.2,6,5.8,1,5,6,6,EXATAS,0.29861,2.5053
950310,Poliana Marina Pinto Hoa de Jesus,0,0,0,0,6.8,6.2,7.1,6.4,0,9,3,4,MUITO_BOM,0.40311,3.3059
610884,Matilde Milani de Souza Clossze,0,0,0,0,6.2,5.5,4.9,4.3,0,7,2,3,EXATAS,0.81394,2.4985
419994,Otávio Barnabé Batsu de Meireles,0,0,0,0,6.5,6.7,7.3,5.3,0,3,0,3,HUMANAS,0.83865,"3324,00"
346568,Victor Marciano Gomes de Figueiredo,0,0,0,0,6.2,6.2,4.8,6,0,10,5,1,DIFICULDADE,0.6733,2.9
785039,Augusto de Gusmões,0,0,0,0,6,5.3,4.9,5,1,1,2,6,DIFICULDADE,0.49666,2.0404
336386,Lara do Espírito Santo de Peres,0,0,0,0,4.9,5.2,5.5,5.7,1,0,2,1,EXATAS,0.35,2.2428
472125,Karl dos Santos,1,1,1,3,0,0,0,0,1,2,2,5,DIFICULDADE,0,0.5
120982,Bárbara Jandira da Silva Crerol Lopes,0,0,0,0,7.6,7.2,6.8,6.4,1,3,0,3,HUMANAS,0.5164,2.9183
173762,Gilmara de Guimarães Mendes,0,0,0,0,5.7,4.3,5.7,,1,0,0,8,EXATAS,0.80829,2.4132
133076,Sílvia Jangada,1,1,1,1,0,0,0,0,0,21,6,2,DIFICULDADE,0,"0,00"
244232,João Ricardo Gomes,0,0,1,1,5.2,4.9,0,0,1,3,2,6,DIFICULDADE,2.91819,2.3315
432793,Sâmia Rose de Trindade,0,0,0,0,5.2,5.2,5.9,,,2,4,4,DIFICULDADE,0.40415,"495,00"
727230,Wilma de Sampaio Irno,0,0,0,0,6.1,5.5,5.1,5.6,1,0,2,6,EXATAS,0.4113,2.2106
121294,Joelma de Pereira,0,0,0,0,7.4,6.6,5.7,,1,0,5,3,EXATAS,0.85049,3.0072
683121,Filipe Alex Noinbo Pinhão,0,0,0,0,6.8,7.4,8.7,7.6,,2,5,3,MUITO_BOM,0.7932,0.7
232491,Cléber Heron de Amorim Yatsuta Fragoso,1,1,1,1,0,0,0,0,,1,0,6,DIFICULDADE,0,"0,00"
782070,Luiza Cavalcante,0,0,0,0,6.4,5.5,4.9,6.2,1,5,0,3,DIFICULDADE,0.68557,2.3281
823254,Osvaldo Fagner Quiscubri da Silva Droa Júnior,0,0,0,0,6,5.8,4.9,,1,6,3,5,EXATAS,0.58595,2.5515
209033,Mara Jeniffer de Linhares,0,0,0,0,6.5,6,6.9,6.2,0,8,0,1,HUMANAS,0.39158,3.2066
196963,Edson de Tozetto dos Santos,0,0,0,0,6.1,5.8,5.3,,1,7,2,4,DIFICULDADE,0.40415,2.6388
321072,Clara Solange Rodrigues de Barros Terceiro,0,0,0,0,6.7,6.7,6.8,6.3,,4,3,4,HUMANAS,0.22174,0.2646
449186,Laura Branco Vunnião,0,0,0,0,6.6,4.7,5.6,4.4,1,1,3,5,EXATAS,0.99121,2.0156
354651,Gabriel Netsuji,0,0,0,0,6.1,4.6,4.7,5.1,0,7,5,3,EXATAS,0.68496,2.4097
743378,Otaviano Gomes Júnior,0,0,0,0,6.1,6.5,4.6,5,1,0,2,3,EXATAS,0.89629,2.3315
481412,Robert Pires,1,1,1,1,0,0,0,,,3,3,6,DIFICULDADE,0,"0,00"
176810,Keyla Karina de Barbosa,0,0,3,1,4.7,4.8,0,0,,3,5,5,DIFICULDADE,2.74272,2.7713
228605,Martin Igreja Terceiro,0,0,0,0,6.2,6,4.9,6.3,1,3,2,2,EXATAS,0.6455,"2442,00"
748596,Priscila Marcela Geshisene,0,0,0,0,7.5,7.3,8.1,6,0,4,5,3,HUMANAS,0.88459,3.6701
916770,Willian Owoer Neto,0,0,0,0,7.1,6.2,7.7,,0,2,5,3,HUMANAS,0.75498,4.0821
458344,Alessandra Ossal de Alvarenga,0,0,0,0,7.6,7.7,7.9,,1,17,7,2,MUITO_BOM,0.15275,3.9273
349438,Leonara de Souza da Silva dos Reis,0,0,0,0,5.7,5.6,5.2,5.7,1,2,5,3,DIFICULDADE,0.23805,2.2603
572626,Rosilda Selena Migoyo,0,0,0,0,5.2,5,4.6,5,0,4,0,4,EXATAS,0.25166,2.4406
694666,Celina Lígia da Silva,0,0,0,0,6.4,5.9,6.5,4.7,1,9,2,3,EXATAS,0.82614,2.4663
705401,Adônis Walter da Silva,0,0,0,0,7.1,6.5,5.9,,0,4,3,6,EXATAS,0.6,3.5921
652794,Zilda Marli de Oliveira Aelaz,0,0,0,0,7.1,7,8.3,7.8,0,5,4,2,HUMANAS,0.61373,3.8871
997787,Vinícius de Pereira,0,0,0,0,5.9,6.4,7.5,4.6,1,5,2,4,MUITO_BOM,1.20277,2.8465
384711,Nelson Emílio Freire Gobido,1,1,1,1,0,0,0,0,0,7,7,4,DIFICULDADE,0,"0,00"
545750,Rebeca Regina de Ortega Vempi,0,0,0,0,7.1,7.3,7.3,7.1,0,4,5,3,HUMANAS,0.11547,3.6179
148616,Albano Orlando de Linhares,1,3,3,1,0,0,0,0,1,5,3,5,DIFICULDADE,0,0.5
794432,Patrícia de Álvares,0,0,0,0,6.3,5.3,6.7,5.9,,3,2,6,HUMANAS,0.59722,0.7024
754217,Poliana de Paranhos Marinho,1,1,1,1,0,0,0,0,1,5,5,5,DIFICULDADE,0,0.5
771850,Leopoldo de Pacheco Barroso,1,1,1,3,0,0,0,0,,2,1,5,DIFICULDADE,0,"0,00"
410346,Ronaldo Moisés Ocrozvyman Júnior,0,0,0,0,5.4,6.2,5.3,4.6,1,2,3,5,DIFICULDADE,0.65511,2.2794
259804,João Quazoesman Ribeiro,0,0,0,0,6.3,4.9,6.7,6.3,1,3,4,3,HUMANAS,0.78951,2.6005
824374,Gabriel Kuyuoha de Britto Júnior,0,0,0,0,6.6,6.1,6,,,4,4,3,EXATAS,0.32146,0.0707
122981,Úrsula Zulmira de Medeiros,0,0,0,0,6.5,4.3,5.8,5.9,1,3,5,6,EXATAS,0.93586,2.2869
563881,Lívia de Aguiar,0,0,0,0,5.5,6.2,5.3,5.3,1,5,3,7,EXATAS,0.4272,2.3388
790640,Maíra Eunice da Silva Toritoza,0,0,0,0,7.1,6.4,6.4,,1,5,2,6,EXATAS,0.40415,3.1177
366054,Elói Geraldo da Silva,0,0,0,0,5.8,5.8,4.9,5.3,1,2,5,3,EXATAS,0.43589,2.1977
946190,Luciano Laércio Onupison Klein,1,1,1,1,0,0,0,0,0,3,1,7,DIFICULDADE,0,"0,00"
633420,Laís de Souza Pimenta,0,0,0,0,6.6,6,5.3,5.3,0,2,0,8,EXATAS,0.62716,2.7863
974420,Hilda Fernanda dos Santos,1,1,1,1,0,0,0,0,,7,5,3,DIFICULDADE,0,"0,00"
681625,Ingrid de França,0,0,0,0,5.4,5.8,5.5,4.4,1,3,2,5,DIFICULDADE,0.60759,2.2006
179657,Maria Kuumusu de Mendonça Linbre,1,1,1,1,0,0,0,0,0,2,0,8,DIFICULDADE,0,"0,00"
420374,Edinaldo Elias Werner,0,0,0,0,6.9,7.4,6.9,5.7,,13,6,3,HUMANAS,0.72284,0.8737
527716,Priscila de Drummond,0,0,0,0,7.9,7.2,9.4,7.9,1,12,5,4,EXCELENTE,0.92736,"3699,00"
238401,Raí Nathan de Alvim Omcydi Brasil,1,1,3,3,0,0,0,0,1,4,5,6,DIFICULDADE,0,0.5
276270,Eulália Rose Brale de Paiva,0,0,0,0,6.7,6.9,8.8,7.2,0,14,6,2,HUMANAS,0.95568,3.9067
656672,Martin Gilson Mepi de Souza Rulasteges,0,0,0,0,6.2,5.6,5.6,5.8,1,2,1,6,EXATAS,0.28284,2.3352
920238,Sheila Tainá Klein,0,0,0,0,6.9,7.2,6.2,5.3,1,2,5,5,EXATAS,0.84459,2.7293
981095,Everaldo de Sampaio Shimibize Ualã Neto,0,0,0,0,7.2,7.1,7.7,5.8,0,5,2,3,HUMANAS,0.81035,3.5237
430665,Celso de Ferraz,0,0,0,0,5.8,4.9,5.4,4.6,1,1,2,6,DIFICULDADE,0.53151,2.0106
274035,Suellen Podazmu de Junqueira,0,0,0,0,7.2,7.1,6.5,,0,8,4,5,EXATAS,0.37859,3.9374
865260,Gisele de Antunes da Silva Noda,0,0,1,1,4.9,5.4,0,0,0,3,0,8,DIFICULDADE,2.98035,2.7
665507,Uribe César Bamornny,1,1,1,1,0,0,0,0,0,2,3,4,DIFICULDADE,0,"0,00"
248106,Samanta Milene dos Santos,1,1,1,1,0,0,0,0,1,3,0,6,DIFICULDADE,0,0.5
854815,Vanda Oirn Trevisan,0,0,0,0,6.1,6.9,7.6,,0,5,3,5,HUMANAS,0.75056,4.2004
256055,Edivaldo Sebastião Lopes Júnior,0,0,0,0,5.5,6.6,7.6,5.8,,7,0,3,HUMANAS,0.93941,0.9018
917746,Aline Coeo de Albuquerque Ribeiro,0,0,0,0,6.5,7.1,6.8,7,0,3,4,4,HUMANAS,0.26458,3.4856
859689,Edinaldo Gomes Tauean,0,0,0,0,4.3,5.9,6.9,5.5,,4,0,4,HUMANAS,1.07548,0.7211
983487,Ismael Mateus de Matos Oiuã,0,0,0,0,6.3,5.2,6.9,5.2,1,5,3,3,HUMANAS,0.84459,2.5145
720646,Fernanda de Ferreira,0,0,0,0,6.5,5.1,5.3,5.2,1,2,3,5,EXATAS,0.65511,2.1016
446070,Gilberto Jacinto de Teixeira,1,1,1,1,0,0,0,0,1,1,3,6,DIFICULDADE,0,0.5
171680,Leni de Sampaio Peufala,1,3,1,3,0,0,0,0,0,5,4,5,DIFICULDADE,0,"0,00"
894529,Benjamin Itamar da Silva Lovo,1,3,3,3,0,0,0,0,,4,5,3,DIFICULDADE,0,"0,00"
116148,Regina Léia de Diniz,0,0,0,0,6.5,6.2,5.7,4.9,1,4,4,4,EXATAS,0.6994,2.3615
444277,Célia Zauke de Pereira da Encarnação,0,0,0,0,5.8,5.6,6.4,5.5,0,4,4,3,DIFICULDADE,0.40311,2.9443
498557,Otto do Piauí de Alvim Júnior,0,0,0,0,5.8,5.2,5.6,5,1,2,2,3,EXATAS,0.36515,2.1479
388985,Karl Washington Acliauão Ruzeiz,0,0,0,0,6.4,6.7,5,5.5,,3,0,8,EXATAS,0.7874,0.8737
814672,Rose Valeska de Figueira dos Santos,0,0,0,0,6.5,5.6,6.6,6.1,1,0,2,5,HUMANAS,0.45461,2.5825
782898,Demilson de Lemos do Amazonas Júnior,0,0,1,1,6.8,6.1,0,0,1,4,5,3,DIFICULDADE,3.73486,2.9216
531945,Cristiane dos Santos,0,0,0,0,5.1,4.5,4.5,4.5,,3,5,3,DIFICULDADE,0.3,"0,00"
357174,Rosa Renata Agodravic,0,0,0,0,6.8,6.5,7.3,5,1,4,6,4,HUMANAS,0.98995,2.8006
808430,Laís Rosatto,1,1,1,1,0,0,0,,1,8,0,3,DIFICULDADE,0,0.5774
664269,Jéssica Xilena de Vargas,1,1,3,3,0,0,0,0,1,3,4,3,DIFICULDADE,0,0.5
453165,Matheus Marco Ketebu de Mendonça,0,0,1,1,4.9,5.2,0,0,1,3,2,6,DIFICULDADE,2.91819,2.4786
678364,Anne Marlene Freire de Vasconcelos,0,0,0,0,5.8,5.5,4.9,5.3,1,8,2,6,DIFICULDADE,0.37749,2.1313
342822,Valeska Violeta Begupuho de Rezende,0,0,0,0,6.4,5.7,6.8,,1,3,3,5,HUMANAS,0.55678,3.0806
562494,Maria Valeska Ornrupeã,0,0,0,0,7.1,7.5,6.6,6.5,1,6,4,6,MUITO_BOM,0.46458,2.9676
278495,Benjamin Gozuchi Paim,0,0,0,0,5.3,6.2,5.7,5.4,1,16,0,1,EXATAS,0.40415,2.4061
957837,Mariano Jairo Arorn Coutinho,0,0,0,0,6.9,6.6,5.6,,1,4,0,8,EXATAS,0.68069,2.9866
769531,Olavo Bopoão,0,0,0,0,6.5,6.7,5.4,5.1,,2,2,6,EXATAS,0.7932,0.8505
741916,José Davi Abui de Lacerda,0,0,0,0,6.1,5.9,7,5.3,1,5,5,3,HUMANAS,0.70415,2.6293
682048,Gilson de Diniz Gutierrez,0,0,0,0,6,5.4,6.7,4.6,,5,5,4,DIFICULDADE,0.89209,1.0599
656192,Susan de Tavares Dias Torres,0,0,0,0,6.4,5.8,6,6.1,,2,2,5,EXATAS,0.25,0.1528
143151,Heloísa Eliomar de Fonseca,1,1,1,1,0,0,0,,1,1,2,6,DIFICULDADE,0,0.5774
311948,Anne Celina de Paiva,0,0,0,0,6.4,5.8,5.4,,1,3,2,6,DIFICULDADE,0.50332,2.6633
489139,Eliane de Rezende,0,0,0,0,5.5,5.5,5.5,5.3,1,13,2,3,EXATAS,0.1,2.2187
153614,Jason Augusto de Salvador,3,3,1,1,0,0,0,0,,3,5,4,DIFICULDADE,0,"0,00"
721684,Monique Naves Weber,0,0,0,0,6.7,6.8,5.6,6.2,0,5,1,7,EXATAS,0.55,3.1385
264469,Luan Benjamin de Souza,0,0,0,0,6.4,7.1,5.3,6.5,0,8,5,3,EXATAS,0.75,3.2377
447338,Monique de Pereira Barroso,0,0,0,0,7.1,6.9,5.6,,1,5,7,3,EXATAS,0.81445,3.1
405545,Walderice Borba,1,3,1,1,0,0,0,0,1,3,1,3,DIFICULDADE,0,0.5
466888,Yeda Roberta Trevisan,0,0,0,0,6.2,5.6,5.4,6,1,5,2,3,EXATAS,0.36515,2.3466
313990,Abigail Denise de Abreu,0,0,0,0,5.6,5.1,5.1,5.3,,2,1,7,EXATAS,0.23629,0.1155
600677,Samara Islil de Salvador,0,0,0,0,5.8,6.8,6.3,5.5,0,3,6,3,EXATAS,0.57155,3.1459
365884,Sâmia do Espírito Santo da Silva,0,0,0,0,6.6,7.2,6.1,7.1,0,5,5,2,EXATAS,0.50662,3.4361
896512,Jonathan Jacinto dos Santos de Pereira,0,0,0,0,5.9,6,6,,1,5,0,6,DIFICULDADE,0.05774,2.8868
242935,Oliver Franco Neto,0,0,0,0,5.8,6.9,5.1,7.1,1,2,2,5,EXATAS,0.94296,2.83
215443,Ricardo Jair de Lins dos Santos,0,0,0,0,6.3,5.1,6.2,5.2,1,6,5,2,EXATAS,0.6377,2.3042
479858,Bóris Unoneirn,0,0,0,0,5.3,4.2,5.7,4.6,0,4,2,5,DIFICULDADE,0.67577,2.4985
182198,Daniel Chico de Brandão da Conceição,0,0,0,0,5.6,5.3,4.6,5.6,0,4,2,6,DIFICULDADE,0.4717,2.6171
751223,Fernanda Lili Revoson,0,0,0,0,6.1,6.3,5.1,5.4,1,2,4,4,EXATAS,0.56789,2.3558
316438,Ezequiel Raí Obrolan,0,0,0,0,7.3,7.3,7.4,6.4,1,5,4,5,MUITO_BOM,0.46904,3.05
578987,Arnaldo Euson da Silva,0,0,1,1,6.7,6.7,0,0,1,2,0,3,DIFICULDADE,3.86825,"3218,00"
687092,Michele Sônia Gutierrez,0,0,0,0,6,5.6,6.3,5.6,,4,3,3,EXATAS,0.34034,0.4041
928838,Damares da Silva,0,0,0,0,5.1,5.5,5,,1,3,1,3,DIFICULDADE,0.26458,2.4664
449477,Christie Jeniffer Baawaba Rane Nta,0,0,0,0,8.6,8.3,8.8,,0,17,6,1,EXCELENTE,0.25166,4.9427
297474,Christie Buarque de Oliveira Naves,0,0,0,0,7.3,7,8.5,,1,5,2,1,HUMANAS,0.79373,3.9686
223963,Álvaro Portugal Trevisan,0,0,0,0,4.8,6,4.7,,1,2,0,8,EXATAS,0.72342,2.5942
572706,Rosilda Ityman,0,0,0,0,6.8,5.8,5.4,,1,3,4,4,EXATAS,0.72111,2.6633
819040,Luiza Góis Zikra de Oliva,0,0,0,0,5.6,5.9,4.9,5.4,0,3,2,3,DIFICULDADE,0.42032,2.7307
916699,Leonara dos Santos,3,1,1,1,0,0,0,0,1,6,2,6,DIFICULDADE,0,0.5
275950,Gislaine de Soares Ipil Pohepupo,0,0,0,0,7.4,8.1,6.4,7.2,1,3,5,1,EXATAS,0.6994,3.1931
111466,Michel Israel Omvon Chioulão,0,0,0,0,5.8,5.6,4.8,4.8,,2,2,5,DIFICULDADE,0.52599,0.4619
988513,Liane Zulmira do Rio de Pereira,0,0,0,0,6.4,5.9,5.4,,1,2,3,5,EXATAS,0.5,2.6963
274830,Willian Gabriel Ombivic do Prado,0,0,0,0,6.2,5.9,5.9,4.9,1,3,2,4,DIFICULDADE,0.56789,2.3315
589648,Robson de Aguiar Jichipato,1,1,3,1,0,0,0,0,,14,2,1,DIFICULDADE,0,"0,00"
189509,Ivan Fagner de Junqueira Imbuião Júnior,0,0,0,0,6.8,6.4,5.9,6.1,,12,5,3,EXATAS,0.39158,0.2517
380169,Jonathan de Pereira Broldasornvic,1,1,1,1,0,0,0,0,1,4,2,6,DIFICULDADE,0,0.5
805664,Janete Lúcia de Barbosa Egri do Piauí,0,0,0,0,6.1,6,6.2,5.9,1,5,1,6,EXATAS,0.1291,2.5198
609915,Paulínia Celeste Pinhão Crobroezman de Paiva,0,0,0,0,7.3,7.7,8.2,8,0,10,5,3,HUMANAS,0.39158,3.9886
782851,Paula Elsyz,0,0,0,0,6.3,6.6,5.6,5.5,0,1,2,7,EXATAS,0.53541,2.9915
683384,Cícero do Prado Júnior,0,0,0,0,7.1,6,6.7,6.6,0,11,5,3,HUMANAS,0.45461,3.2315
751466,Nicolas Roberto de Nogueira,0,0,0,0,6,5.9,5.9,5.2,0,2,2,3,DIFICULDADE,0.36968,2.8525
223470,André de Oliva Neto,0,0,0,0,6.4,6.4,5.6,5.8,,2,4,5,EXATAS,0.41231,0.4163
919882,Bruna Dina de Barboza da Gama,0,0,0,0,7.3,7.4,6.7,6.5,0,13,5,4,HUMANAS,0.44253,3.4549
509816,Alessandra Laís de Cabral,0,0,0,0,6.7,6.4,4.8,5.6,,4,2,3,EXATAS,0.85391,0.8
499936,Olavo Cleberson Milani de Álvares Júnior,0,0,3,1,4.8,5.2,0,,1,2,5,4,DIFICULDADE,2.89367,2.7592
686972,Marco de Souza Driynison,0,0,0,0,6.4,5.4,4.5,4.9,1,4,5,3,EXATAS,0.82057,2.0008
562624,Poliana da Paz Teles,0,0,0,0,6.4,5.9,6.9,,1,3,2,3,HUMANAS,0.5,3.1575
627850,Vera Heloísa de Carvalho da Silva,0,0,0,0,7.9,8.1,7.2,6.6,1,4,0,3,HUMANAS,0.68557,3.2098
281174,Eleriane Isaiane de Sampaio da Silva,1,1,1,1,0,0,0,0,1,8,5,3,DIFICULDADE,0,0.5
806648,Ariana Samanta de Barbosa,0,0,0,0,4.6,5.3,6.7,4.6,1,9,2,2,DIFICULDADE,0.98995,"2429,00"
338318,Filipe de Martins Tlasi Aelu,0,0,0,0,5.4,4.6,5.3,5.7,1,2,0,3,DIFICULDADE,0.46547,2.1486
882962,Sílvio Miguel dos Reis Nunes,0,0,0,0,6.4,6.3,7.4,,0,3,2,6,HUMANAS,0.60828,3.9929
971089,Rafaela Naves Pima Glaiov,0,0,0,0,7.1,6.5,5.3,6.2,0,2,2,6,EXATAS,0.75,"3043,00"
621598,Rita Gaeman,1,1,1,1,0,0,0,0,1,2,2,6,DIFICULDADE,0,0.5
611915,Cecília Cícera do Piauí de Machado,0,0,0,0,6.9,6.6,6.1,,0,5,0,4,EXATAS,0.40415,3.6747
160124,Clara de Garcia,0,0,0,0,7.1,7.3,6.2,6.2,0,3,2,4,EXATAS,0.5831,"3324,00"
945283,Jeniffer Luzia Yfozvic,0,0,0,0,5.3,5.7,5.5,5.5,0,5,2,4,EXATAS,0.1633,2.7849
669589,Celina Câmara,0,0,0,0,7.5,7,6.9,5.8,0,17,6,2,HUMANAS,0.71647,"3328,00"
918460,Sandra Margarida Izmmeão Yilaman,0,0,1,1,5.1,5.3,0,0,1,9,2,6,EXATAS,3.00333,2.5277
454461,Denis dos Reis Yare,0,0,0,0,6.9,4.6,5.4,5.4,,3,0,4,DIFICULDADE,0.96047,0.4619
122467,Geraldo Karl Onovlosy Vrysoes Prycantaman,0,0,0,0,7,7.7,6.8,,1,3,5,3,MUITO_BOM,0.47258,3.6364
491025,Sônia de Angola,1,1,1,1,0,0,0,0,1,2,2,6,DIFICULDADE,0,0.5
670349,Luciano Castelo de Oliveira,0,0,0,0,5.4,5.3,5,5.6,1,3,4,4,DIFICULDADE,0.25,2.1639
655352,Júlia de Antunes,0,0,0,0,7.8,7.9,8.7,7.7,1,5,2,2,EXCELENTE,0.45735,3.5762
561340,Priscila Tatiane da Silva,0,0,0,0,6.8,7,7.4,5.7,1,2,2,5,HUMANAS,0.72744,2.9409
697547,Milene Ivete de Figueira Fontes Rassili,0,0,0,0,7.1,7.1,7.3,,0,16,5,2,MUITO_BOM,0.11547,4.1581
685831,Cauê de Lemes Seixas,1,1,1,1,0,0,0,0,0,3,0,3,DIFICULDADE,0,"0,00"
225253,Ariel Samila Foyromovic,0,0,0,0,7.8,7.8,7.6,7.1,,11,5,4,HUMANAS,0.3304,0.3606
355318,Joelma de Souza Ezvyn Evly,0,0,0,0,6.5,7.2,7.3,,0,7,2,5,HUMANAS,0.43589,4.1861
585214,Abigail Alessandra Oleuoman,0,0,0,0,6,6.2,4.8,5.5,,2,4,4,EXATAS,0.62383,0.7
